iter	Logloss
338	0.4333100238
339	0.433139703
340	0.433086105
341	0.4329407162
342	0.4328479955
343	0.4327279374
344	0.4326245116
345	0.4325816869
346	0.4324982016
347	0.4323455057
348	0.4322827184
349	0.4322127256
350	0.4321104993
351	0.4320440698
352	0.4319318823
353	0.4318453461
354	0.4317129351
355	0.4316229586
356	0.431569283
357	0.4314481801
358	0.4313136348
359	0.4311734509
360	0.4310870009
361	0.4310044216
362	0.4309297299
363	0.4308238962
364	0.4307327013
365	0.4306608985
366	0.4305701276
367	0.4304572186
368	0.4303315172
369	0.430258788
370	0.4301823552
371	0.4301160766
372	0.4300230551
373	0.4299565778
374	0.4298811389
375	0.4297582094
376	0.4296842205
377	0.4295693076
378	0.4294978857
379	0.4294488887
380	0.4293844608
381	0.4293170408
382	0.4292599746
383	0.4291678488
384	0.4290801265
385	0.4289748467
386	0.4288555762
387	0.4287674828
388	0.428719339
389	0.4286266443
390	0.4285188605
391	0.4284518154
392	0.4283242196
393	0.4282601008
394	0.4281651607
395	0.4280969608
396	0.4280318425
397	0.4279630204
398	0.4278593342
399	0.4277400296
400	0.4276826576
401	0.4276269964
402	0.427546352
403	0.427476183
404	0.427413525
405	0.4273022378
406	0.4272217287
407	0.4271268057
408	0.4270442872
