iter	Logloss
0	0.6722029919
1	0.6530386369
2	0.6358692402
3	0.6215556412
4	0.6096137551
5	0.5994450104
6	0.5890564543
7	0.5797606002
8	0.571532462
9	0.5648125259
10	0.558601258
11	0.5529936525
12	0.546780874
13	0.5425114702
14	0.5380642558
15	0.5338768215
16	0.5302366938
17	0.5264969608
18	0.522683054
19	0.5196150747
20	0.5165871039
21	0.5139455461
22	0.5115243094
23	0.5095133445
24	0.5073027552
25	0.5055742147
26	0.5037688462
27	0.5014382281
28	0.4999729317
29	0.4984391865
30	0.4970199928
31	0.4953398738
32	0.4941785428
33	0.4932322934
34	0.4921713908
35	0.4910491993
36	0.4900059163
37	0.4890594111
38	0.4881431173
39	0.4871964606
40	0.4863018598
41	0.4856148252
42	0.4849221969
43	0.484236613
44	0.4833752844
45	0.482711941
46	0.4820598218
47	0.48117761
48	0.4806780128
49	0.479940829
50	0.47925699
51	0.4787077264
52	0.4781461577
53	0.4775855225
54	0.47704908
55	0.4765368588
56	0.4761431452
57	0.4757835414
58	0.4754754693
59	0.4751224569
60	0.4747423884
61	0.4743822142
62	0.4738646409
63	0.4736434011
64	0.4733944964
65	0.4727496631
66	0.4724207063
67	0.4721334819
68	0.4718649303
69	0.4715734766
70	0.4710824218
71	0.4708285695
72	0.4704124877
73	0.4701630774
74	0.4698523178
75	0.4696622361
76	0.4692298979
77	0.4689133443
78	0.4685948626
79	0.4683156619
80	0.4681676002
81	0.467985348
82	0.467821367
83	0.4673636162
84	0.4671945091
85	0.4670277271
86	0.4667240632
87	0.4665661739
88	0.4661243964
89	0.4657683558
90	0.4655254171
91	0.4653605559
92	0.4652440331
93	0.4650685911
94	0.4648456148
95	0.4646313557
96	0.4645206624
97	0.464278734
98	0.4639524066
99	0.4637550826
100	0.4633776732
101	0.4631556527
102	0.4629070981
103	0.4625443225
104	0.4623612065
105	0.4622196084
106	0.4620604882
107	0.4619354852
108	0.4617487571
109	0.4614046911
110	0.4611628438
111	0.4609900453
112	0.4607041706
113	0.4604838932
114	0.4602772121
115	0.460078676
116	0.4599674082
117	0.4597013623
118	0.4594960875
119	0.4593813354
120	0.4592929348
121	0.4591472637
122	0.4589050467
123	0.4586007288
124	0.4583490243
125	0.4582133716
126	0.4581130612
127	0.4580332832
128	0.4577941783
129	0.4576949479
130	0.4575038619
131	0.4573637887
132	0.4572434129
133	0.4571298585
134	0.4570225677
135	0.456805734
136	0.456626
137	0.4565341744
138	0.4565011331
139	0.456441457
140	0.456148144
141	0.4559640669
142	0.4557953279
143	0.455708163
144	0.4556051554
145	0.4555175521
146	0.45528137
147	0.4551367073
148	0.4550369539
149	0.4549273546
150	0.4548401348
151	0.454675088
152	0.4545836454
153	0.454459186
154	0.4542964347
155	0.4541230669
156	0.4540358836
157	0.4538389317
158	0.4537617076
159	0.453667131
160	0.4535466044
161	0.4534078286
162	0.4532288131
163	0.4530185946
164	0.4528760302
165	0.4527958192
166	0.4526729736
167	0.4525768581
168	0.4524746802
169	0.4523516758
170	0.4522194631
171	0.4520841069
172	0.4519777281
173	0.4518765292
174	0.4517548033
175	0.4516463605
176	0.4515583425
177	0.4513068232
178	0.4511999848
179	0.4511901339
180	0.4511210724
181	0.4510375472
182	0.4509173925
183	0.4508239822
184	0.4506921901
185	0.4506205542
186	0.4504732138
187	0.4504302778
188	0.450244916
189	0.4501672461
190	0.4499855
191	0.4499022229
192	0.4496995832
193	0.4496040916
194	0.4494969587
195	0.4493875492
196	0.4492803225
197	0.4491083227
198	0.4489689525
199	0.4488270012
200	0.4487385505
201	0.4485991192
202	0.4485273138
203	0.4484434844
204	0.4483815555
205	0.4482927266
206	0.4481158385
207	0.4479554065
208	0.4478381459
209	0.4477018634
210	0.4475720371
211	0.4474678401
212	0.447360337
213	0.4472338035
214	0.4471624429
215	0.4470161912
216	0.4469477195
217	0.4467780476
218	0.4467072902
219	0.4466561902
220	0.4465785057
221	0.4464169534
222	0.446292522
223	0.4461269652
224	0.4460117599
225	0.4459134849
226	0.4457529588
227	0.4456480208
228	0.4455442319
229	0.4454201646
230	0.4453316204
231	0.445168647
232	0.4450804239
233	0.4449677188
234	0.4448021494
235	0.4446596412
236	0.4445469798
237	0.4444455335
238	0.4443563059
239	0.4442310135
240	0.4441243947
241	0.4439534253
242	0.4438570166
243	0.4437517792
244	0.4436452414
245	0.4434211162
246	0.4433091875
247	0.4432053517
248	0.4431307316
249	0.4429956589
250	0.4429301419
251	0.4428266925
252	0.442751763
253	0.442626161
254	0.4424926767
255	0.4423360884
256	0.4422228589
257	0.4421017675
258	0.4419882353
259	0.4418022795
260	0.4417227274
261	0.4416063009
262	0.4414947542
263	0.441394031
264	0.4412444939
265	0.4411147089
266	0.4409878607
267	0.4408694359
268	0.440762
269	0.4406914767
270	0.4405677185
271	0.440439601
272	0.440342513
273	0.4402295496
274	0.4401418395
275	0.4400593417
276	0.4399470194
277	0.4398597652
278	0.4396266544
279	0.4395673294
280	0.4394127469
281	0.4393061136
282	0.4392096624
283	0.4391197408
284	0.4389950345
285	0.4389045118
286	0.4387853782
287	0.4387167554
288	0.4385746712
289	0.4383476013
290	0.4382250538
291	0.4381345541
292	0.4380669012
293	0.437926363
294	0.4378021765
295	0.4377359733
296	0.4376233711
297	0.4374255543
298	0.4373456076
299	0.4372118481
300	0.4371058795
301	0.4370404635
302	0.436943755
303	0.4368683832
304	0.4367421299
305	0.4366459689
306	0.4365693298
307	0.4364395695
308	0.4362946179
309	0.4362032354
310	0.4361337056
311	0.4360510548
312	0.4359613848
313	0.435857616
314	0.4357577916
315	0.4356369265
316	0.4354721275
317	0.4354035398
318	0.4353006321
319	0.4351935919
320	0.4351067504
321	0.4350359592
322	0.4349448792
323	0.4348170304
324	0.4346886234
325	0.4346110553
326	0.4345254292
327	0.4343993136
328	0.4342898447
329	0.434165781
330	0.4340618102
331	0.4338820589
332	0.4337994749
333	0.4336958454
334	0.4335987808
335	0.433503931
336	0.433441822
337	0.4333689263
